"Nounce","Received","MarketName","Source","OrderType","Quantity","Rate","TimeStamp","Type"
337645,"2017-09-04T19:59:44Z","BTC-OMG","bittrex","SELL",39.6354961,0.00212866,"2017-09-04T19:59:41.74",
337645,"2017-09-04T19:59:44Z","BTC-OMG","bittrex","SELL",8.32708867,0.00212866,"2017-09-04T19:59:41.74",
279146,"2017-09-04T19:59:44Z","BTC-QTUM","bittrex","SELL",54.95761325,0.00272282,"2017-09-04T19:59:41.583",
279146,"2017-09-04T19:59:44Z","BTC-QTUM","bittrex","BUY",56.13503676,0.002768,"2017-09-04T19:59:41.507",
279146,"2017-09-04T19:59:44Z","BTC-QTUM","bittrex","BUY",15.88714391,0.002768,"2017-09-04T19:59:41.507",
265043,"2017-09-04T19:59:44Z","USDT-BTC","bittrex","BUY",0.90718566,4222,"2017-09-04T19:59:42.257",
265043,"2017-09-04T19:59:44Z","USDT-BTC","bittrex","BUY",0.46988234,4221,"2017-09-04T19:59:42.257",
335509,"2017-09-04T19:59:44Z","BTC-NEO","bittrex","BUY",10.08136693,0.00557442,"2017-09-04T19:59:40.057",
117457,"2017-09-04T19:59:45Z","BTC-ANT","bittrex","SELL",23.71140293,0.00050578,"2017-09-04T19:59:43.417",
258380,"2017-09-04T19:59:45Z","BTC-ADX","bittrex","SELL",4.21349506,0.00016309,"2017-09-04T19:59:42.77",
258507,"2017-09-04T19:59:45Z","BTC-WAVES","bittrex","SELL",140,0.0010877,"2017-09-04T19:59:43.227",
186930,"2017-09-04T19:59:45Z","ETH-NEO","bittrex","BUY",0.44669689,0.07849999,"2017-09-04T19:59:42.973",
186930,"2017-09-04T19:59:45Z","ETH-NEO","bittrex","BUY",65,0.078,"2017-09-04T19:59:42.367",
353201,"2017-09-04T19:59:45Z","BTC-LTC","bittrex","SELL",2.27490718,0.01620105,"2017-09-04T19:59:43.773",
353201,"2017-09-04T19:59:45Z","BTC-LTC","bittrex","BUY",1,0.016252,"2017-09-04T19:59:43.633",
133614,"2017-09-04T19:59:45Z","BTC-GBYTE","bittrex","SELL",0.00674396,0.08200021,"2017-09-04T19:59:43.257",
292257,"2017-09-04T19:59:45Z","BTC-MCO","bittrex","BUY",51.54039978,0.00225298,"2017-09-04T19:59:42.32",
292257,"2017-09-04T19:59:45Z","BTC-MCO","bittrex","BUY",32.21274986,0.00225295,"2017-09-04T19:59:42.32",
292257,"2017-09-04T19:59:45Z","BTC-MCO","bittrex","BUY",0.34933551,0.00224796,"2017-09-04T19:59:42.32",
292257,"2017-09-04T19:59:45Z","BTC-MCO","bittrex","BUY",0.31238328,0.00224796,"2017-09-04T19:59:42.32",
335510,"2017-09-04T19:59:45Z","BTC-NEO","bittrex","BUY",3,0.00557442,"2017-09-04T19:59:41.917",
109719,"2017-09-04T19:59:45Z","BTC-GUP","bittrex","SELL",14.85728093,0.00004667,"2017-09-04T19:59:44.523",
54309,"2017-09-04T19:59:45Z","BTC-SAFEX","bittrex","SELL",539.30278978,0.0000024,"2017-09-04T19:59:43.85",
184876,"2017-09-04T19:59:45Z","BTC-BAT","bittrex","SELL",13.08855615,0.0000477,"2017-09-04T19:59:44.23",
82715,"2017-09-04T19:59:45Z","BTC-RDD","bittrex","SELL",2498.46686581,2.7e-7,"2017-09-04T19:59:44.463",
282132,"2017-09-04T19:59:45Z","BTC-RISE","bittrex","BUY",100,0.0000855,"2017-09-04T19:59:44.133",
173699,"2017-09-04T19:59:45Z","BTC-BLOCK","bittrex","SELL",0.10176453,0.00556699,"2017-09-04T19:59:42.213",
256891,"2017-09-04T19:59:45Z","BTC-CVC","bittrex","SELL",5.56173526,0.0000899,"2017-09-04T19:59:43.223",
55691,"2017-09-04T19:59:45Z","BTC-CANN","bittrex","SELL",122.93176075,0.000007,"2017-09-04T19:59:41.883",
279148,"2017-09-04T19:59:45Z","BTC-QTUM","bittrex","BUY",1.16358658,0.00276337,"2017-09-04T19:59:43.803",
335511,"2017-09-04T19:59:45Z","BTC-NEO","bittrex","SELL",0.19893471,0.005571,"2017-09-04T19:59:42.23",
62552,"2017-09-04T19:59:46Z","BTC-PKB","bittrex","SELL",7.52370702,0.00009183,"2017-09-04T19:59:44.353",
214988,"2017-09-04T19:59:46Z","BTC-STORJ","bittrex","SELL",4.7301791,0.00015017,"2017-09-04T19:59:44.067",
173246,"2017-09-04T19:59:47Z","BTC-SNT","bittrex","BUY",8978.81808148,0.00000775,"2017-09-04T19:59:44.77",
173246,"2017-09-04T19:59:47Z","BTC-SNT","bittrex","SELL",732.58664731,0.00000776,"2017-09-04T19:59:44.35",
173246,"2017-09-04T19:59:47Z","BTC-SNT","bittrex","SELL",67.41335269,0.00000776,"2017-09-04T19:59:44.13",
168115,"2017-09-04T19:59:47Z","BTC-XEL","bittrex","SELL",4.8486337,0.00011096,"2017-09-04T19:59:44.113",
