"globalTradeID","tradeID","date","market","type","source","rate","amount","total"
226172706,33878075,"2017-09-05T19:25:29Z","BTC_ETH","sell","Poloniex","0.07172502","1.02080101","0.07321697"
226172663,33878074,"2017-09-05T19:25:28Z","BTC_ETH","buy","Poloniex","0.07181548","0.34516109","0.02478790"
226172639,33878073,"2017-09-05T19:25:23Z","BTC_ETH","sell","Poloniex","0.07172500","0.01000000","0.00071725"
226172598,33878072,"2017-09-05T19:25:15Z","BTC_ETH","sell","Poloniex","0.07180000","0.04958175","0.00355996"
226172597,33878071,"2017-09-05T19:25:15Z","BTC_ETH","sell","Poloniex","0.07180000","0.02165696","0.00155496"
226172596,33878070,"2017-09-05T19:25:15Z","BTC_ETH","sell","Poloniex","0.07180000","3.30248536","0.23711844"
226172595,33878069,"2017-09-05T19:25:15Z","BTC_ETH","sell","Poloniex","0.07180001","2.26048994","0.16230320"
226172594,33878068,"2017-09-05T19:25:15Z","BTC_ETH","sell","Poloniex","0.07180001","31.38379852","2.25335704"
226172589,33878067,"2017-09-05T19:25:13Z","BTC_ETH","sell","Poloniex","0.07180001","2.79462318","0.20065397"
226172584,33878066,"2017-09-05T19:25:12Z","BTC_ETH","sell","Poloniex","0.07180001","0.00209436","0.00015037"
226172567,33878065,"2017-09-05T19:25:09Z","BTC_ETH","buy","Poloniex","0.07181551","0.16526445","0.01186855"
226172559,33878064,"2017-09-05T19:25:08Z","BTC_ETH","buy","Poloniex","0.07181551","0.00920058","0.00066074"
226172453,33878063,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07188000","0.28743833","0.02066106"
226172452,33878062,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07188000","0.10015913","0.00719943"
226172451,33878061,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07187493","7.00000000","0.50312451"
226172450,33878060,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07187133","8.80376281","0.63273814"
226172449,33878059,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07185659","3.52521370","0.25330983"
226172448,33878058,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07185598","0.01257799","0.00090380"
226172447,33878057,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07184990","0.02093758","0.00150436"
226172446,33878056,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07183466","0.98571817","0.07080872"
226172445,33878055,"2017-09-05T19:24:56Z","BTC_ETH","buy","Poloniex","0.07183169","7.10000000","0.51000499"
226172406,33878054,"2017-09-05T19:24:50Z","BTC_ETH","sell","Poloniex","0.07180001","0.00209436","0.00015037"
226172271,33878053,"2017-09-05T19:24:37Z","BTC_ETH","sell","Poloniex","0.07180001","0.15813700","0.01135423"
226172260,33878052,"2017-09-05T19:24:34Z","BTC_ETH","sell","Poloniex","0.07180001","1.90000000","0.13642001"
226172259,33878051,"2017-09-05T19:24:34Z","BTC_ETH","sell","Poloniex","0.07183466","0.10000000","0.00718346"
226172234,33878050,"2017-09-05T19:24:28Z","BTC_ETH","sell","Poloniex","0.07180000","0.00209436","0.00015037"
226172165,33878049,"2017-09-05T19:24:20Z","BTC_ETH","buy","Poloniex","0.07185598","0.00000001","0.00000000"
226172060,33878048,"2017-09-05T19:24:17Z","BTC_ETH","sell","Poloniex","0.07180000","18.86963038","1.35483946"
226172059,33878047,"2017-09-05T19:24:17Z","BTC_ETH","sell","Poloniex","0.07180001","0.59594039","0.04278852"
226172058,33878046,"2017-09-05T19:24:17Z","BTC_ETH","sell","Poloniex","0.07184930","0.04542923","0.00326405"
226172028,33878045,"2017-09-05T19:24:16Z","BTC_ETH","buy","Poloniex","0.07185659","0.06328472","0.00454742"
226172027,33878044,"2017-09-05T19:24:16Z","BTC_ETH","buy","Poloniex","0.07185000","0.20000000","0.01437000"
226172023,33878043,"2017-09-05T19:24:15Z","BTC_ETH","sell","Poloniex","0.07180001","4.12109453","0.29589462"
226172022,33878042,"2017-09-05T19:24:15Z","BTC_ETH","sell","Poloniex","0.07183465","0.01000003","0.00071834"
226172021,33878041,"2017-09-05T19:24:15Z","BTC_ETH","sell","Poloniex","0.07183466","0.04539828","0.00326117"
226172020,33878040,"2017-09-05T19:24:15Z","BTC_ETH","sell","Poloniex","0.07183466","0.05150716","0.00369999"
226172017,33878039,"2017-09-05T19:24:14Z","BTC_ETH","buy","Poloniex","0.07184930","0.00002808","0.00000201"
226172013,33878038,"2017-09-05T19:24:14Z","BTC_ETH","buy","Poloniex","0.07184930","4.68043736","0.33628614"
226172012,33878037,"2017-09-05T19:24:14Z","BTC_ETH","buy","Poloniex","0.07184560","6.86737879","0.49339094"
226172011,33878036,"2017-09-05T19:24:14Z","BTC_ETH","buy","Poloniex","0.07183779","0.00139286","0.00010005"
226172010,33878035,"2017-09-05T19:24:14Z","BTC_ETH","buy","Poloniex","0.07183467","6.09481171","0.43781878"
226172009,33878034,"2017-09-05T19:24:14Z","BTC_ETH","buy","Poloniex","0.07183466","7.35597928","0.52841427"
226172002,33878033,"2017-09-05T19:24:12Z","BTC_ETH","buy","Poloniex","0.07183466","0.17577967","0.01262707"
226171982,33878032,"2017-09-05T19:24:08Z","BTC_ETH","sell","Poloniex","0.07180000","0.45289022","0.03251751"
226171978,33878031,"2017-09-05T19:24:07Z","BTC_ETH","buy","Poloniex","0.07183466","0.53824105","0.03866436"
226171977,33878030,"2017-09-05T19:24:07Z","BTC_ETH","buy","Poloniex","0.07183107","0.02105062","0.00151208"
226171971,33878029,"2017-09-05T19:24:07Z","BTC_ETH","sell","Poloniex","0.07180000","0.00209436","0.00015037"
226171970,33878028,"2017-09-05T19:24:06Z","BTC_ETH","sell","Poloniex","0.07180000","0.84368025","0.06057624"
226171956,33878027,"2017-09-05T19:24:06Z","BTC_ETH","buy","Poloniex","0.07183107","3.48037936","0.24999937"
226171953,33878026,"2017-09-05T19:24:06Z","BTC_ETH","buy","Poloniex","0.07183107","0.33135116","0.02380130"
226171928,33878025,"2017-09-05T19:24:01Z","BTC_ETH","sell","Poloniex","0.07180000","0.16409660","0.01178213"
226171864,33878024,"2017-09-05T19:23:53Z","BTC_ETH","sell","Poloniex","0.07180000","1.67691391","0.12040241"
226171810,33878023,"2017-09-05T19:23:45Z","BTC_ETH","sell","Poloniex","0.07180000","0.00209436","0.00015037"
226171755,33878022,"2017-09-05T19:23:34Z","BTC_ETH","sell","Poloniex","0.07180000","0.01000000","0.00071800"
