country,name,symbol,numericCode,minorUnit
MALAYSIA,Malaysian Ringgit,MYR,458,2
MALDIVES,Rufiyaa,MVR,462,2
MALI,CFA Franc BCEAO,XOF,952,0
MALTA,Euro,EUR,978,2
MARSHALL ISLANDS (THE),US Dollar,USD,840,2
MARTINIQUE,Euro,EUR,978,2
MAURITANIA,Ouguiya,MRO,478,2
MAURITIUS,Mauritius Rupee,MUR,480,2
MAYOTTE,Euro,EUR,978,2
MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,XUA,965,N.A.
MEXICO,Mexican Peso,MXN,484,2
MEXICO,Mexican Unidad de Inversion (UDI),MXV,979,2
MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840,2
MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL,498,2
MONACO,Euro,EUR,978,2
MONGOLIA,Tugrik,MNT,496,2
MONTENEGRO,Euro,EUR,978,2
MONTSERRAT,East Caribbean Dollar,XCD,951,2
MOROCCO,Moroccan Dirham,MAD,504,2
MOZAMBIQUE,Mozambique Metical,MZN,943,2
MYANMAR,Kyat,MMK,104,2
NAMIBIA,Namibia Dollar,NAD,516,2
NAMIBIA,Rand,ZAR,710,2
NAURU,Australian Dollar,AUD,36,2
NEPAL,Nepalese Rupee,NPR,524,2
NETHERLANDS (THE),Euro,EUR,978,2
NEW CALEDONIA,CFP Franc,XPF,953,0
NEW ZEALAND,New Zealand Dollar,NZD,554,2
NICARAGUA,Cordoba Oro,NIO,558,2
NIGER (THE),CFA Franc BCEAO,XOF,952,0
NIGERIA,Naira,NGN,566,2
NIUE,New Zealand Dollar,NZD,554,2
NORFOLK ISLAND,Australian Dollar,AUD,36,2
NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840,2
NORWAY,Norwegian Krone,NOK,578,2
OMAN,Rial Omani,OMR,512,3
PAKISTAN,Pakistan Rupee,PKR,586,2
PALAU,US Dollar,USD,840,2
"PALESTINE, STATE OF",No universal currency,,,
PANAMA,Balboa,PAB,590,2
PANAMA,US Dollar,USD,840,2
PAPUA NEW GUINEA,Kina,PGK,598,2
PARAGUAY,Guarani,PYG,600,0
PERU,Sol,PEN,604,2
PHILIPPINES (THE),Philippine Peso,PHP,608,2
PITCAIRN,New Zealand Dollar,NZD,554,2
POLAND,Zloty,PLN,985,2
PORTUGAL,Euro,EUR,978,2
PUERTO RICO,US Dollar,USD,840,2
QATAR,Qatari Rial,QAR,634,2
RÉUNION,Euro,EUR,978,2
ROMANIA,Romanian Leu,RON,946,2
RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643,2
RWANDA,Rwanda Franc,RWF,646,0
SAINT BARTHÉLEMY,Euro,EUR,978,2
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound,SHP,654,2
SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951,2
SAINT LUCIA,East Caribbean Dollar,XCD,951,2
SAINT MARTIN (FRENCH PART),Euro,EUR,978,2
SAINT PIERRE AND MIQUELON,Euro,EUR,978,2
SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951,2
SAMOA,Tala,WST,882,2
SAN MARINO,Euro,EUR,978,2
SAO TOME AND PRINCIPE,Dobra,STD,678,2
SAUDI ARABIA,Saudi Riyal,SAR,682,2
SENEGAL,CFA Franc BCEAO,XOF,952,0
SERBIA,Serbian Dinar,RSD,941,2
SEYCHELLES,Seychelles Rupee,SCR,690,2
SIERRA LEONE,Leone,SLL,694,2
SINGAPORE,Singapore Dollar,SGD,702,2
SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG,532,2
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU,994,N.A.
SLOVAKIA,Euro,EUR,978,2
SLOVENIA,Euro,EUR,978,2
SOLOMON ISLANDS,Solomon Islands Dollar,SBD,90,2
SOMALIA,Somali Shilling,SOS,706,2
SOUTH AFRICA,Rand,ZAR,710,2
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,No universal currency,,,
SOUTH SUDAN,South Sudanese Pound,SSP,728,2
SPAIN,Euro,EUR,978,2
SRI LANKA,Sri Lanka Rupee,LKR,144,2
SUDAN (THE),Sudanese Pound,SDG,938,2
SURINAME,Surinam Dollar,SRD,968,2
SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578,2
SWAZILAND,Lilangeni,SZL,748,2
SWEDEN,Swedish Krona,SEK,752,2
SWITZERLAND,Swiss Franc,CHF,756,2
SWITZERLAND,WIR Euro,CHE,947,2
SWITZERLAND,WIR Franc,CHW,948,2
SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,760,2
TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,TWD,901,2
TAJIKISTAN,Somoni,TJS,972,2
"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling,TZS,834,2
THAILAND,Baht,THB,764,2
TIMOR-LESTE,US Dollar,USD,840,2
TOGO,CFA Franc BCEAO,XOF,952,0
TOKELAU,New Zealand Dollar,NZD,554,2
TONGA,Pa’anga,TOP,776,2
TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780,2
TUNISIA,Tunisian Dinar,TND,788,3
TURKEY,Turkish Lira,TRY,949,2
TURKMENISTAN,Turkmenistan New Manat,TMT,934,2
TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,840,2
TUVALU,Australian Dollar,AUD,36,2
UGANDA,Uganda Shilling,UGX,800,0
UKRAINE,Hryvnia,UAH,980,2
UNITED ARAB EMIRATES (THE),UAE Dirham,AED,784,2
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,826,2
UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,USD,840,2
UNITED STATES OF AMERICA (THE),US Dollar,USD,840,2
UNITED STATES OF AMERICA (THE),US Dollar (Next day),USN,997,2
URUGUAY,Peso Uruguayo,UYU,858,2
URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI,940,0
UZBEKISTAN,Uzbekistan Sum,UZS,860,2
VANUATU,Vatu,VUV,548,0
VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolívar,VEF,937,2
VIET NAM,Dong,VND,704,0
VIRGIN ISLANDS (BRITISH),US Dollar,USD,840,2
VIRGIN ISLANDS (U.S.),US Dollar,USD,840,2
WALLIS AND FUTUNA,CFP Franc,XPF,953,0
WESTERN SAHARA,Moroccan Dirham,MAD,504,2
YEMEN,Yemeni Rial,YER,886,2
ZAMBIA,Zambian Kwacha,ZMW,967,2
ZIMBABWE,Zimbabwe Dollar,ZWL,932,2
ZZ01_Bond Markets Unit European_EURCO,Bond Markets Unit European Composite Unit (EURCO),XBA,955,N.A.
ZZ02_Bond Markets Unit European_EMU-6,Bond Markets Unit European Monetary Unit (E.M.U.-6),XBB,956,N.A.
ZZ03_Bond Markets Unit European_EUA-9,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),XBC,957,N.A.
ZZ04_Bond Markets Unit European_EUA-17,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),XBD,958,N.A.
ZZ06_Testing_Code,Codes specifically reserved for testing purposes,XTS,963,N.A.
ZZ07_No_Currency,The codes assigned for transactions where no currency is involved,XXX,999,N.A.
ZZ08_Gold,Gold,XAU,959,N.A.
ZZ09_Palladium,Palladium,XPD,964,N.A.
ZZ10_Platinum,Platinum,XPT,962,N.A.
ZZ11_Silver,Silver,XAG,961,N.A.
