"symbol","name","minConfirmation","txFee","active","type","baseAddress","notice"
"BTC","Bitcoin",2,0.001,true,"BITCOIN","1N52wHoVR79PMDishab2XmRHsbekCdGquK",
"LTC","Litecoin",6,0.002,true,"BITCOIN","LhyLNfBkoKshT7R8Pce6vkB9T2cP2o84hx",
"DOGE","Dogecoin",6,2,true,"BITCOIN","D9GqmkGCpgtnXP7xMD78v9xfqeDkqBZBMT",
"VTC","Vertcoin",6,0.02,true,"BITCOIN",,
"PPC","Peercoin",6,0.02,true,"BITCOIN",,
"FTC","Feathercoin",20,0.2,true,"BITCOIN",,
"RDD","ReddCoin",20,2,true,"BITCOIN",,
"NXT","NXT",8,2,true,"NXT","NXT-97H4-KRWL-A53G-7GVRG",
"DASH","Dash",6,0.002,true,"BITCOIN",,
"POT","PotCoin",20,0.002,true,"BITCOIN",,
"BLK","BlackCoin",6,0.02,true,"BITCOIN",,
"EMC2","Einsteinium",999,0.2,true,"BITCOIN",,
"XMY","Myriad",20,0.2,true,"BITCOIN",,
"AUR","AuroraCoin",5,0.002,true,"BITCOIN",,
"UTC","UltraCoin",5,0.02,true,"BITCOIN",,
"MZC","MazaCoin",6,0.2,true,"BITCOIN",,
"EFL","ElectronicGulden",256,0.2,false,"BITCOIN",,"EFL blockchain experienced a double spend attack. We are working with the development team on a fix."
"GLD","GoldCoin",20,0.0002,true,"BITCOIN",,
"FAIR","FairCoin",10,0.02,true,"BITCOIN",,
"SLR","SolarCoin",20,0.2,true,"BITCOIN",,
"PTC","PesetaCoin ",40,0.002,true,"BITCOIN",,
"GRS","Groestlcoin",20,0.2,true,"BITCOIN",,
"NLG","Gulden",10,0.2,true,"BITCOINEX",,
"RBY","RubyCoin",10,0.02,true,"BITCOIN",,
"XWC","WhiteCoin",20,0.2,true,"BITCOIN",,
"MONA","MonaCoin",5,0.2,true,"BITCOIN",,
"BITS","BitStarCoin",20,0.002,true,"BITCOIN",,
