"marketAssetSymbol","baseAssetSymbol","marketAssetName","baseAssetName","minTradeSize","name","active","created","notice","sponsored","logoURL"
"LTC","BTC","Litecoin","Bitcoin",1e-8,"BTC-LTC",true,"2014-02-13T00:00:00",,,"https://i.imgur.com/R29q3dD.png"
"DOGE","BTC","Dogecoin","Bitcoin",1e-8,"BTC-DOGE",true,"2014-02-13T00:00:00",,,"https://i.imgur.com/e1RS4Hn.png"
"VTC","BTC","Vertcoin","Bitcoin",1e-8,"BTC-VTC",true,"2014-02-13T00:00:00",,,"https://i.imgur.com/8GLoaDg.png"
"PPC","BTC","Peercoin","Bitcoin",1e-8,"BTC-PPC",true,"2014-02-13T00:00:00",,,
"FTC","BTC","Feathercoin","Bitcoin",1e-8,"BTC-FTC",true,"2014-02-13T00:00:00",,,"https://i.imgur.com/FcYsj9T.png"
"RDD","BTC","ReddCoin","Bitcoin",1e-8,"BTC-RDD",true,"2014-02-25T09:00:00",,,"https://imgur.com/uIT8UBW.png"
"NXT","BTC","NXT","Bitcoin",1e-8,"BTC-NXT",true,"2014-03-03T09:00:00",,,"https://i.imgur.com/jc49cD4.png"
"DASH","BTC","Dash","Bitcoin",1e-8,"BTC-DASH",true,"2014-03-11T08:00:00",,,"https://i.imgur.com/qiIMHZr.png"
"POT","BTC","PotCoin","Bitcoin",1e-8,"BTC-POT",true,"2014-03-11T08:00:00",,,"https://i.imgur.com/9JIkbM8.png"
"BLK","BTC","BlackCoin","Bitcoin",1e-8,"BTC-BLK",true,"2014-03-14T09:00:00",,false,"https://i.imgur.com/qFADFqo.png"
"EMC2","BTC","Einsteinium","Bitcoin",1e-8,"BTC-EMC2",true,"2014-12-24T00:00:00",,,"https://i.imgur.com/H8fekUT.png"
"XMY","BTC","Myriad","Bitcoin",1e-8,"BTC-XMY",true,"2014-03-15T08:00:00",,,"https://i.imgur.com/tsQWHT9.png"
"AUR","BTC","AuroraCoin","Bitcoin",1e-8,"BTC-AUR",true,"2014-03-16T22:00:00",,,"https://i.imgur.com/mJGGNs5.png"
"EFL","BTC","ElectronicGulden","Bitcoin",1e-8,"BTC-EFL",true,"2014-03-20T20:00:00",,,"https://i.imgur.com/cCXR4CJ.png"
"GLD","BTC","GoldCoin","Bitcoin",1e-8,"BTC-GLD",true,"2014-03-22T16:00:00",,,"https://i.imgur.com/BfrLULz.jpg"
"SLR","BTC","SolarCoin","Bitcoin",1e-8,"BTC-SLR",true,"2014-03-23T06:00:00",,,"https://i.imgur.com/G9IzYsx.png"
"PTC","BTC","PesetaCoin ","Bitcoin",1e-8,"BTC-PTC",true,"2014-03-27T18:00:00",,,"https://i.imgur.com/Nymup76.png"
"GRS","BTC","Groestlcoin","Bitcoin",1e-8,"BTC-GRS",true,"2014-04-03T05:00:00",,,"https://i.imgur.com/ZOKaILH.png"
"NLG","BTC","Gulden","Bitcoin",1e-8,"BTC-NLG",true,"2014-04-04T22:00:00",,false,"https://i.imgur.com/0ylgAGm.png"
"RBY","BTC","RubyCoin","Bitcoin",1e-8,"BTC-RBY",true,"2014-04-05T08:00:00",,false,"https://i.imgur.com/D8nXRN9.png"
"XWC","BTC","WhiteCoin","Bitcoin",1e-8,"BTC-XWC",true,"2014-04-14T00:00:00",,,"https://i.imgur.com/ZK80S7l.png"
"MONA","BTC","MonaCoin","Bitcoin",1e-8,"BTC-MONA",true,"2014-04-18T22:00:00",,,"https://i.imgur.com/nO2Ynp2.png"
"THC","BTC","HempCoin","Bitcoin",1e-8,"BTC-THC",true,"2014-04-29T21:00:00",,,"https://i.imgur.com/ds4JIGm.png"
"ENRG","BTC","EnergyCoin","Bitcoin",1e-8,"BTC-ENRG",true,"2014-05-04T00:00:00",,,"https://i.imgur.com/4VDl7ak.png"
"ERC","BTC","EuropeCoin","Bitcoin",1e-8,"BTC-ERC",true,"2014-05-10T17:00:00",,,"https://i.imgur.com/YuVLaz5.png"
"VRC","BTC","VeriCoin","Bitcoin",1e-8,"BTC-VRC",true,"2014-05-13T07:00:00",,,"https://i.imgur.com/eCt8l7m.jpg"
"CURE","BTC","CureCoin","Bitcoin",1e-8,"BTC-CURE",true,"2014-05-13T09:00:00",,,"https://i.imgur.com/HcfOdfe.png"
"XMR","BTC","Monero","Bitcoin",1e-8,"BTC-XMR",true,"2014-06-04T07:38:39.24",,,"https://i.imgur.com/ZxFIRZR.png"
"CLOAK","BTC","CloakCoin","Bitcoin",1e-8,"BTC-CLOAK",true,"2014-06-04T08:53:18.563",,,"https://i.imgur.com/Rcjn8mS.png"
"START","BTC","StartCoin","Bitcoin",1e-8,"BTC-START",true,"2014-06-14T07:09:15.327",,,"https://i.imgur.com/lu2amOl.png"
"KORE","BTC","KoreCoin","Bitcoin",1e-8,"BTC-KORE",true,"2014-06-17T05:46:29.303",,,"https://i.imgur.com/yh3osZw.png"
"XDN","BTC","DigitalNote","Bitcoin",1e-8,"BTC-XDN",true,"2014-06-21T18:37:57.64",,,
"TRUST","BTC","TrustPlus","Bitcoin",1e-8,"BTC-TRUST",true,"2014-07-07T05:46:18.71",,,"https://i.imgur.com/wqyiYLM.png"
"NAV","BTC","NAVCoin","Bitcoin",1e-8,"BTC-NAV",true,"2014-07-08T03:37:28.39",,,"https://i.imgur.com/TNpUvdq.png"
"XST","BTC","StealthCoin","Bitcoin",1e-8,"BTC-XST",true,"2014-07-09T20:33:00.59",,,"https://i.imgur.com/QMxojVf.png"
"BTCD","BTC","BitcoinDark","Bitcoin",1e-8,"BTC-BTCD",true,"2014-07-14T06:05:04.567",,,"https://i.imgur.com/S75FAEs.png"
"VIA","BTC","ViaCoin ","Bitcoin",1e-8,"BTC-VIA",true,"2014-07-18T00:20:00.393",,,"https://i.imgur.com/lM6Cwig.png"
"UNO","BTC","Unobtanium","Bitcoin",1e-8,"BTC-UNO",true,"2014-07-23T20:58:41.35",,,"https://i.imgur.com/lKiqrBa.png"
"PINK","BTC","PinkCoin","Bitcoin",1e-8,"BTC-PINK",true,"2014-07-29T07:41:09.4",,false,"https://i.imgur.com/sx4eLIY.png"
"IOC","BTC","I/OCoin","Bitcoin",1e-8,"BTC-IOC",true,"2014-07-29T16:57:43.787",,,"https://i.imgur.com/ptDjPz2.png"
"CANN","BTC","CannabisCoin","Bitcoin",1e-8,"BTC-CANN",true,"2014-08-10T06:48:44.83",,,"https://i.imgur.com/uJkJXh3.png"
"SYS","BTC","SysCoin","Bitcoin",1e-8,"BTC-SYS",true,"2014-08-16T19:57:48.823",,,"https://i.imgur.com/0m3yZKs.png"
"NEOS","BTC","NeosCoin","Bitcoin",1e-8,"BTC-NEOS",true,"2014-08-20T00:06:59.63",,false,"https://i.imgur.com/x2gSo1l.png"
"DGB","BTC","Digibyte","Bitcoin",1e-8,"BTC-DGB",true,"2014-08-20T07:09:57.207",,,"https://imgur.com/8ni1FRC.png"
"BURST","BTC","BURSTCoin","Bitcoin",1e-8,"BTC-BURST",true,"2014-09-16T07:41:56.047",,,
"EXCL","BTC","ExclusiveCoin","Bitcoin",1e-8,"BTC-EXCL",true,"2014-09-28T20:33:27.633",,false,"https://i.imgur.com/HQa0euO.png"
