"baseAssetSymbol","marketAssetSymbol","name","source","lot","lot_decimals","quote","pair_decimals","aclass_base","aclass_quote","altname","fee_volume_currency"
"BCH","EUR","BCHEUR","Kraken","unit",8,"ZEUR",1,"currency","currency","BCHEUR","ZUSD"
"BCH","USD","BCHUSD","Kraken","unit",8,"ZUSD",1,"currency","currency","BCHUSD","ZUSD"
"BCH","XBT","BCHXBT","Kraken","unit",8,"XXBT",5,"currency","currency","BCHXBT","ZUSD"
"DASH","EUR","DASHEUR","Kraken","unit",8,"ZEUR",3,"currency","currency","DASHEUR","ZUSD"
"DASH","USD","DASHUSD","Kraken","unit",8,"ZUSD",3,"currency","currency","DASHUSD","ZUSD"
"DASH","XBT","DASHXBT","Kraken","unit",8,"XXBT",5,"currency","currency","DASHXBT","ZUSD"
"EOS","ETH","EOSETH","Kraken","unit",8,"XETH",6,"currency","currency","EOSETH","ZUSD"
"EOS","XBT","EOSXBT","Kraken","unit",8,"XXBT",7,"currency","currency","EOSXBT","ZUSD"
"GNO","ETH","GNOETH","Kraken","unit",8,"XETH",4,"currency","currency","GNOETH","ZUSD"
"GNO","XBT","GNOXBT","Kraken","unit",8,"XXBT",5,"currency","currency","GNOXBT","ZUSD"
"USDT","ZUSD","USDTZUSD","Kraken","unit",8,"ZUSD",4,"currency","currency","USDTUSD","ZUSD"
"XETC","XETH","XETCXETH","Kraken","unit",8,"XETH",6,"currency","currency","ETCETH","ZUSD"
"XETC","XXBT","XETCXXBT","Kraken","unit",8,"XXBT",6,"currency","currency","ETCXBT","ZUSD"
"XETC","ZEUR","XETCZEUR","Kraken","unit",8,"ZEUR",3,"currency","currency","ETCEUR","ZUSD"
"XETC","ZUSD","XETCZUSD","Kraken","unit",8,"ZUSD",3,"currency","currency","ETCUSD","ZUSD"
"XETH","XXBT","XETHXXBT","Kraken","unit",8,"XXBT",5,"currency","currency","ETHXBT","ZUSD"
"XETH","XXBT.d","XETHXXBT.d","Kraken","unit",8,"XXBT",6,"currency","currency","ETHXBT.d","ZUSD"
"XETH","ZCAD","XETHZCAD","Kraken","unit",8,"ZCAD",2,"currency","currency","ETHCAD","ZUSD"
"XETH","ZCAD.d","XETHZCAD.d","Kraken","unit",8,"ZCAD",5,"currency","currency","ETHCAD.d","ZUSD"
"XETH","ZEUR","XETHZEUR","Kraken","unit",8,"ZEUR",2,"currency","currency","ETHEUR","ZUSD"
"XETH","ZEUR.d","XETHZEUR.d","Kraken","unit",8,"ZEUR",5,"currency","currency","ETHEUR.d","ZUSD"
"XETH","ZGBP","XETHZGBP","Kraken","unit",8,"ZGBP",2,"currency","currency","ETHGBP","ZUSD"
"XETH","ZGBP.d","XETHZGBP.d","Kraken","unit",8,"ZGBP",5,"currency","currency","ETHGBP.d","ZUSD"
"XETH","ZJPY","XETHZJPY","Kraken","unit",8,"ZJPY",0,"currency","currency","ETHJPY","ZUSD"
"XETH","ZJPY.d","XETHZJPY.d","Kraken","unit",8,"ZJPY",3,"currency","currency","ETHJPY.d","ZUSD"
"XETH","ZUSD","XETHZUSD","Kraken","unit",8,"ZUSD",2,"currency","currency","ETHUSD","ZUSD"
"XETH","ZUSD.d","XETHZUSD.d","Kraken","unit",8,"ZUSD",5,"currency","currency","ETHUSD.d","ZUSD"
"XICN","XETH","XICNXETH","Kraken","unit",8,"XETH",6,"currency","currency","ICNETH","ZUSD"
"XICN","XXBT","XICNXXBT","Kraken","unit",8,"XXBT",6,"currency","currency","ICNXBT","ZUSD"
"XLTC","XXBT","XLTCXXBT","Kraken","unit",8,"XXBT",6,"currency","currency","LTCXBT","ZUSD"
"XLTC","ZEUR","XLTCZEUR","Kraken","unit",8,"ZEUR",2,"currency","currency","LTCEUR","ZUSD"
"XLTC","ZUSD","XLTCZUSD","Kraken","unit",8,"ZUSD",2,"currency","currency","LTCUSD","ZUSD"
"XMLN","XETH","XMLNXETH","Kraken","unit",8,"XETH",5,"currency","currency","MLNETH","ZUSD"
"XMLN","XXBT","XMLNXXBT","Kraken","unit",8,"XXBT",6,"currency","currency","MLNXBT","ZUSD"
"XREP","XETH","XREPXETH","Kraken","unit",8,"XETH",5,"currency","currency","REPETH","ZUSD"
"XREP","XXBT","XREPXXBT","Kraken","unit",8,"XXBT",6,"currency","currency","REPXBT","ZUSD"
"XREP","ZEUR","XREPZEUR","Kraken","unit",8,"ZEUR",3,"currency","currency","REPEUR","ZUSD"
"XXBT","ZCAD","XXBTZCAD","Kraken","unit",8,"ZCAD",1,"currency","currency","XBTCAD","ZUSD"
"XXBT","ZCAD.d","XXBTZCAD.d","Kraken","unit",8,"ZCAD",3,"currency","currency","XBTCAD.d","ZUSD"
"XXBT","ZEUR","XXBTZEUR","Kraken","unit",8,"ZEUR",1,"currency","currency","XBTEUR","ZUSD"
"XXBT","ZEUR.d","XXBTZEUR.d","Kraken","unit",8,"ZEUR",2,"currency","currency","XBTEUR.d","ZUSD"
"XXBT","ZGBP","XXBTZGBP","Kraken","unit",8,"ZGBP",1,"currency","currency","XBTGBP","ZUSD"
"XXBT","ZGBP.d","XXBTZGBP.d","Kraken","unit",8,"ZGBP",3,"currency","currency","XBTGBP.d","ZUSD"
"XXBT","ZJPY","XXBTZJPY","Kraken","unit",8,"ZJPY",0,"currency","currency","XBTJPY","ZUSD"
"XXBT","ZJPY.d","XXBTZJPY.d","Kraken","unit",8,"ZJPY",1,"currency","currency","XBTJPY.d","ZUSD"
