"id","name","source","baseAssetSymbol","marketAssetSymbol","name","last","lowestAsk","highestBid","percentChange","baseVolume","quoteVolume","isFrozen","high24hr","low24hr"
7,"BTC_BCN","Poloniex","BTC","BCN","BTC_BCN","0.00000045","0.00000045","0.00000044","0.02272727","156.29177742","361613575.19911253","0","0.00000046","0.00000040"
8,"BTC_BELA","Poloniex","BTC","BELA","BTC_BELA","0.00003573","0.00003573","0.00003541","0.02761000","12.25228572","354155.04413979","0","0.00003594","0.00003295"
10,"BTC_BLK","Poloniex","BTC","BLK","BTC_BLK","0.00005288","0.00005323","0.00005272","-0.03819570","33.55765020","657454.25587785","0","0.00005745","0.00004703"
12,"BTC_BTCD","Poloniex","BTC","BTCD","BTC_BTCD","0.02700000","0.02700000","0.02661093","0.18139125","96.43634854","4054.23110141","0","0.02736000","0.02082233"
13,"BTC_BTM","Poloniex","BTC","BTM","BTC_BTM","0.00015427","0.00015471","0.00015390","0.02504983","13.48414478","88081.25378691","0","0.00016196","0.00014301"
14,"BTC_BTS","Poloniex","BTC","BTS","BTC_BTS","0.00002872","0.00002867","0.00002851","0.01952431","1539.55263507","56473991.42400508","0","0.00002967","0.00002413"
15,"BTC_BURST","Poloniex","BTC","BURST","BTC_BURST","0.00000297","0.00000298","0.00000297","0.13358778","336.61105452","122112437.64089961","0","0.00000316","0.00000248"
20,"BTC_CLAM","Poloniex","BTC","CLAM","BTC_CLAM","0.00167081","0.00167953","0.00167415","0.00710660","46.76613838","28173.15583905","0","0.00169000","0.00162003"
24,"BTC_DASH","Poloniex","BTC","DASH","BTC_DASH","0.07394664","0.07394664","0.07394663","0.01266900","1836.62541795","25136.39531195","0","0.07658993","0.07011930"
25,"BTC_DGB","Poloniex","BTC","DGB","BTC_DGB","0.00000448","0.00000449","0.00000448","0.02752293","1474.31786035","337457045.17783099","0","0.00000469","0.00000411"
27,"BTC_DOGE","Poloniex","BTC","DOGE","BTC_DOGE","0.00000045","0.00000045","0.00000044","0.04651162","259.48295667","587757178.40895343","0","0.00000046","0.00000042"
28,"BTC_EMC2","Poloniex","BTC","EMC2","BTC_EMC2","0.00000901","0.00000917","0.00000901","-0.03842049","11.67869644","1281476.63435608","0","0.00000945","0.00000884"
31,"BTC_FLDC","Poloniex","BTC","FLDC","BTC_FLDC","0.00000297","0.00000298","0.00000296","-0.01000000","41.45728612","14201540.77293188","0","0.00000319","0.00000273"
32,"BTC_FLO","Poloniex","BTC","FLO","BTC_FLO","0.00001958","0.00001958","0.00001950","0.08536585","23.57009917","1349631.88552101","0","0.00001981","0.00001639"
38,"BTC_GAME","Poloniex","BTC","GAME","BTC_GAME","0.00041157","0.00041152","0.00040780","0.03842660","173.49786853","432632.22370150","0","0.00042023","0.00036746"
40,"BTC_GRC","Poloniex","BTC","GRC","BTC_GRC","0.00000844","0.00000847","0.00000845","0.08483290","13.51430736","1699438.09390646","0","0.00000855","0.00000745"
43,"BTC_HUC","Poloniex","BTC","HUC","BTC_HUC","0.00002359","0.00002359","0.00002336","-0.00798990","7.08201178","308292.31938557","0","0.00002430","0.00002200"
50,"BTC_LTC","Poloniex","BTC","LTC","BTC_LTC","0.01651358","0.01651358","0.01650074","0.02405035","8648.84849923","539937.21140070","0","0.01668667","0.01545605"
51,"BTC_MAID","Poloniex","BTC","MAID","BTC_MAID","0.00014150","0.00014234","0.00014150","0.06711915","365.67206172","2756331.67572918","0","0.00014340","0.00012220"
58,"BTC_OMNI","Poloniex","BTC","OMNI","BTC_OMNI","0.00661908","0.00662104","0.00662103","0.01403608","18.07791213","2783.95736080","0","0.00682000","0.00623048"
60,"BTC_NAUT","Poloniex","BTC","NAUT","BTC_NAUT","0.00003994","0.00004001","0.00003994","0.04146023","14.00974988","360984.49446283","0","0.00004100","0.00003702"
61,"BTC_NAV","Poloniex","BTC","NAV","BTC_NAV","0.00031405","0.00031915","0.00031537","0.09409838","466.96058193","1541956.43681797","0","0.00034212","0.00026968"
63,"BTC_NEOS","Poloniex","BTC","NEOS","BTC_NEOS","0.00087814","0.00086935","0.00086354","-0.00330287","13.00285157","15310.11547470","0","0.00088154","0.00082544"
64,"BTC_NMC","Poloniex","BTC","NMC","BTC_NMC","0.00040087","0.00040482","0.00040096","-0.01655954","30.26807474","78447.58910692","0","0.00041490","0.00035827"
66,"BTC_NOTE","Poloniex","BTC","NOTE","BTC_NOTE","0.00001406","0.00001406","0.00001388","-0.03034482","10.36115069","752285.17509552","0","0.00001477","0.00001301"
69,"BTC_NXT","Poloniex","BTC","NXT","BTC_NXT","0.00002105","0.00002110","0.00002104","-0.00284225","323.51829813","15788163.49700262","0","0.00002210","0.00001966"
73,"BTC_PINK","Poloniex","BTC","PINK","BTC_PINK","0.00000769","0.00000770","0.00000768","0.01451187","105.91125464","14102261.85007973","0","0.00000818","0.00000698"
74,"BTC_POT","Poloniex","BTC","POT","BTC_POT","0.00002164","0.00002186","0.00002165","-0.01725703","68.88607087","3180276.13004691","0","0.00002424","0.00002077"
75,"BTC_PPC","Poloniex","BTC","PPC","BTC_PPC","0.00038601","0.00039040","0.00038300","0.08168469","24.20086745","66838.66611598","0","0.00039998","0.00034742"
83,"BTC_RIC","Poloniex","BTC","RIC","BTC_RIC","0.00001647","0.00001662","0.00001645","-0.00902527","36.69032742","2366753.41111901","0","0.00001719","0.00001440"
86,"BTC_SJCX","Poloniex","BTC","SJCX","BTC_SJCX","0.00016974","0.00017076","0.00017008","0.02500000","16.31266827","98672.50481929","0","0.00017508","0.00015832"
89,"BTC_STR","Poloniex","BTC","STR","BTC_STR","0.00000432","0.00000433","0.00000432","0.01647058","565.02701413","134433720.50472081","0","0.00000437","0.00000400"
