"baseAssetSymbol","marketAssetSymbol","name","source","limit","maxLimit","min","minerFee","rate"
"ICN","MLN","ICN_MLN","Shapeshift",1148.3489333,1148.3489333,0.19061728,0.003,"0.02637764"
"MLN","ICN","MLN_ICN","Shapeshift",35.10496739,35.10496739,0.01060674,0.2,"31.60275720"
"ICN","BTC","ICN_BTC","Shapeshift",1148.3489333,1148.3489333,8.23045268,0.002,"0.000470"
"BTC","ICN","BTC_ICN","Shapeshift",0.5420207,0.5420207,0.0001888,0.2,"2050.925926"
"ICN","BLK","ICN_BLK","Shapeshift",1148.3489333,1148.3489333,0.00223992,0.01,"7.92578956"
"BLK","ICN","BLK_ICN","Shapeshift",9958.12413225,9958.12413225,3.18865057,0.2,"0.11135190"
"ICN","BTS","ICN_BTS","Shapeshift",707.92362452,1148.3489333,0.06893004,0.5,"13.98219178"
"BTS","ICN","BTS_ICN","Shapeshift",16179.72228413,16179.72228413,5.62239428,0.2,"0.06853369"
"ICN","CLAM","ICN_CLAM","Shapeshift",33.38828772,33.38828772,0.00690391,0.001,"0.27635359"
"CLAM","ICN","CLAM_ICN","Shapeshift",17.57864399,17.57864399,0.11112484,0.2,"3.43210599"
"ICN","DGB","ICN_DGB","Shapeshift",1148.3489333,1148.3489333,0.00017366,0.01,"110.42023529"
"DGB","ICN","DGB_ICN","Shapeshift",128440.92334556,128440.92334556,44.42352941,0.2,"0.00863754"
"ICN","DOGE","ICN_DOGE","Shapeshift",0,0,0.0036214,2,"1043.38222222"
"DOGE","ICN","DOGE_ICN","Shapeshift",1231865.21935972,1231865.21935972,419.55555556,0.2,"0.00090059"
"ICN","FCT","ICN_FCT","Shapeshift",1148.3489333,1148.3489333,2.3849465,0.1,"0.08030025"
"FCT","ICN","FCT_ICN","Shapeshift",93.52569728,93.52569728,0.03228962,0.2,"11.86212766"
"ICN","LTC","ICN_LTC","Shapeshift",1148.3489333,1148.3489333,0.07185185,0.001,"0.02686447"
"LTC","ICN","LTC_ICN","Shapeshift",31.04356796,31.04356796,0.01079165,0.2,"35.77324074"
"ICN","MONA","ICN_MONA","Shapeshift",251.00567205,1148.3489333,0.10455144,0.2,"3.62691088"
"MONA","ICN","MONA_ICN","Shapeshift",910.04974872,4266.87157772,1.45915449,0.2,"0.25987567"
"ICN","NXT","ICN_NXT","Shapeshift",0,0,0.09497942,1,"19.94570943"
"NXT","ICN","NXT_ICN","Shapeshift",3193.314884,3193.314884,8.02039082,0.2,"0.04724039"
"ICN","POT","ICN_POT","Shapeshift",1148.3489333,1148.3489333,0.0008963,0.01,"21.43936073"
"POT","ICN","POT_ICN","Shapeshift",24886.16604767,24886.16604767,8.62100457,0.2,"0.04457953"
